Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 46.44      1.63     1.63        1     1.63     3.39  fun_logics_rec(MatrixB, MatrixB, Matrix<PossibleCombinations>&, bool&, unsigned long)
 25.93      2.54     0.91 917538495     0.00     0.00  std::vector<char, std::allocator<char> >::operator[](unsigned long)
 15.10      3.07     0.53 149659675     0.00     0.00  PossibleCombinations::operator()(unsigned long, unsigned long)
  7.26      3.33     0.26 143500137     0.00     0.00  MatrixB::operator()(unsigned long, unsigned long)
  2.85      3.42     0.10        1     0.10     0.10  std::chrono::duration<long, std::ratio<1l, 1000l> >::count() const
  1.00      3.46     0.04 36665495     0.00     0.00  std::vector<char, std::allocator<char> >::operator[](unsigned long) const
  0.57      3.48     0.02     1190     0.00     0.00  PossibleCombinations::getNActiveLines() const
  0.43      3.50     0.01        2     0.01     0.01  std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  0.28      3.50     0.01   512855     0.00     0.00  MatrixB::operator()(unsigned long, unsigned long) const
  0.14      3.51     0.01      839     0.00     0.00  std::vector<char, std::allocator<char> >::vector()
  0.00      3.51     0.00   245832     0.00     0.00  std::vector<char, std::allocator<char> >::size() const
  0.00      3.51     0.00   126934     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator()
  0.00      3.51     0.00    80184     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::__normal_iterator(char const* const&)
  0.00      3.51     0.00    80184     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::base() const
  0.00      3.51     0.00    80184     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, false>::_S_base(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)
  0.00      3.51     0.00    80184     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, true>::_S_base(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)
  0.00      3.51     0.00    80184     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)
  0.00      3.51     0.00    80184     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)
  0.00      3.51     0.00    62089     0.00     0.00  void std::_Destroy_aux<true>::__destroy<char*>(char*, char*)
  0.00      3.51     0.00    62089     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_deallocate(char*, unsigned long)
  0.00      3.51     0.00    62089     0.00     0.00  void std::_Destroy<char*>(char*, char*)
  0.00      3.51     0.00    62089     0.00     0.00  void std::_Destroy<char*, char>(char*, char*, std::allocator<char>&)
  0.00      3.51     0.00    62050     0.00     0.00  std::_Iter_base<char*, false>::_S_base(char*)
  0.00      3.51     0.00    62050     0.00     0.00  std::_Niter_base<char*>::iterator_type std::__niter_base<char*>(char*)
  0.00      3.51     0.00    61260     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::~_Vector_impl()
  0.00      3.51     0.00    61260     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::~_Vector_base()
  0.00      3.51     0.00    61260     0.00     0.00  std::vector<char, std::allocator<char> >::~vector()
  0.00      3.51     0.00    60826     0.00     0.00  __gnu_cxx::new_allocator<char>::max_size() const
  0.00      3.51     0.00    59308     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_allocate(unsigned long)
  0.00      3.51     0.00    59168     0.00     0.00  __gnu_cxx::new_allocator<char>::deallocate(char*, unsigned long)
  0.00      3.51     0.00    59168     0.00     0.00  __gnu_cxx::new_allocator<char>::allocate(unsigned long, void const*)
  0.00      3.51     0.00    58479     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl(std::allocator<char> const&)
  0.00      3.51     0.00    58479     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_create_storage(unsigned long)
  0.00      3.51     0.00    58479     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_base(unsigned long, std::allocator<char> const&)
  0.00      3.51     0.00    41639     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator() const
  0.00      3.51     0.00    40092     0.00     0.00  std::vector<char, std::allocator<char> >::end() const
  0.00      3.51     0.00    40092     0.00     0.00  std::vector<char, std::allocator<char> >::begin() const
  0.00      3.51     0.00    40092     0.00     0.00  char* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<char>(char const*, char const*, char*)
  0.00      3.51     0.00    40092     0.00     0.00  char* std::__copy_move_a<false, char const*, char*>(char const*, char const*, char*)
  0.00      3.51     0.00    39981     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<char> >::_S_select_on_copy(std::allocator<char> const&)
  0.00      3.51     0.00    39981     0.00     0.00  std::allocator_traits<std::allocator<char> >::select_on_container_copy_construction(std::allocator<char> const&)
  0.00      3.51     0.00    39981     0.00     0.00  std::enable_if<!std::allocator_traits<std::allocator<char> >::__select_helper<std::allocator<char> const>::value, std::allocator<char> const>::type std::allocator_traits<std::allocator<char> >::_S_select<std::allocator<char> const>(std::allocator<char> const&)
